Localization,Disease,Pace,Pattern,Etiology,Prompt
Cortex,Ischemic cortical infarct (MCA territory),hyperacute,monophasic,Vascular,"68-year-old with sudden, minutes-old contralateral face/arm more than leg weakness with aphasia or neglect, after abrupt onset during routine activity; BP elevated on arrival."
Cortex,"Autoimmune encephalitis (e.g., anti-NMDA)",subacute,progressive,Inflammatory/Autoimmune,"32-year-old with days to weeks of contralateral face/arm more than leg weakness with aphasia or neglect, following a recent infection or with fluctuating course and mild fevers."
Cortex,Focal cortical dysplasia / epilepsy focus,chronic,progressive,Seizure,"28-year-old with months to years of contralateral face/arm more than leg weakness with aphasia or neglect, with recurrent brief spells and post-event confusion between otherwise normal days."
Subcortical white matter,Multiple sclerosis (demyelinating plaques),subacute,relapsing,Inflammatory/Autoimmune,"32-year-old with days to weeks of progressive gait difficulty and slowed processing with scattered executive dysfunction, following a recent infection or with fluctuating course and mild fevers."
Subcortical white matter,Small-vessel ischemic disease (leukoaraiosis),chronic,stepwise,Vascular,"68-year-old with months to years of progressive gait difficulty and slowed processing with scattered executive dysfunction, after abrupt onset during routine activity; BP elevated on arrival."
Subcortical white matter,Progressive multifocal leukoencephalopathy (PML),subacute,progressive,Infectious,"45-year-old with days to weeks of progressive gait difficulty and slowed processing with scattered executive dysfunction, with low-grade fevers or recent infection; inflammatory markers mildly elevated."
Basal ganglia,Hypertensive intracerebral hemorrhage (putamen),hyperacute,monophasic,Vascular,"68-year-old with sudden, minutes-old contralateral pure motor signs with mild dysarthria and bradykinesia features, after abrupt onset during routine activity; BP elevated on arrival."
Basal ganglia,Lacunar infarct (lenticulostriate),acute,monophasic,Vascular,"68-year-old with sudden, hours-old contralateral pure motor signs with mild dysarthria and bradykinesia features, after abrupt onset during routine activity; BP elevated on arrival."
Basal ganglia,Wilson disease (copper deposition),chronic,progressive,Metabolic,"58-year-old with months to years of contralateral pure motor signs with mild dysarthria and bradykinesia features, with nutritional/endocrine risk factors and subacute progression."
Thalamus,Thalamic ischemic infarct (PCA perforators),acute,monophasic,Vascular,"68-year-old with sudden, hours-old contralateral numbness and dysesthesia with mild confusion or vertical gaze issues, after abrupt onset during routine activity; BP elevated on arrival."
Thalamus,Hypertensive thalamic hemorrhage,hyperacute,monophasic,Vascular,"68-year-old with sudden, minutes-old contralateral numbness and dysesthesia with mild confusion or vertical gaze issues, after abrupt onset during routine activity; BP elevated on arrival."
