Oligodendroglioma,oligodendroglioma.png,"A 44-year-old man presents with new-onset focal seizures, and MRI shows a calcified mass in the frontal lobe involving the cortical-subcortical junction.","Here we see uniform round cells with perinuclear clearing (“fried-egg” appearance), delicate branching “chicken-wire” capillaries, and frequent calcifications.",STEP1
Glioblastoma,gbm.png,"A 62-year-old man presents with progressive headaches and new-onset left-sided weakness, and MRI shows an irregular ring-enhancing mass in the right hemisphere that crosses the corpus callosum.","Here we see marked nuclear pleomorphism, frequent mitotic figures, prominent microvascular proliferation, and regions of pseudopalisading necrosis.",STEP1
Medulloblastoma,medulloblastoma.png,"A 7-year-old child presents with worsening gait instability and vomiting, and MRI shows a midline cerebellar mass compressing the fourth ventricle and causing obstructive hydrocephalus.","Here we see sheets of densely packed small round blue cells with hyperchromatic nuclei, scant cytoplasm, frequent mitoses, and occasional Homer-Wright rosettes.",STEP1
Ependymoma,ependymoma.png,"An 8-year-old child presents with morning headaches and recurrent vomiting, and MRI shows an intraventricular tumor arising from the floor of the fourth ventricle and obstructing cerebrospinal fluid flow.","Here we see tumor cells forming perivascular pseudorosettes, with tapering cellular processes radiating toward centrally placed blood vessels, and occasional true ependymal rosettes.",STEP1
Meningioma,meningioma.png,"A 52-year-old woman presents with gradually worsening headaches, and MRI shows a well-circumscribed extra-axial mass along the convexity with a broad dural attachment.",Here we see epithelioid cells forming whorled nests with interspersed concentrically laminated psammoma bodies.,STEP1
Alzheimer disease,alzheimer.png,"A 74-year-old man presents with a two-year history of progressive difficulty remembering recent events, repeating questions, and misplacing familiar objects.",Here we see neuritic plaques with extracellular ?-amyloid deposition and intracellular neurofibrillary tangles of hyperphosphorylated tau within degenerating neurons.,STEP1
Alzheimer disease,alzheimer1.png,"A 76-year-old woman presents with progressive memory problems and difficulty managing her finances and medications, and her family reports that she occasionally gets lost while driving in familiar neighborhoods.",Here we see neuritic plaques with extracellular ?-amyloid deposition and intracellular neurofibrillary tangles of hyperphosphorylated tau within degenerating neurons.,STEP1
Parkinson disease,parkinson.png,"A 62-year-old man presents with a several-year history of resting tremor in one hand, slowness of movement, and a shuffling gait, and examination shows cogwheel rigidity and reduced arm swing.",Here we see neurons containing eosinophilic cytoplasmic inclusions (Lewy bodies) composed of misfolded alpha-synuclein.,STEP1
Parkinson disease,parkinson1.png,"A 70-year-old woman presents with progressive slowness, stiffness, constipation, and loss of smell, and examination shows masked facies and bradykinesia with small shuffling steps.",Here we see neurons containing eosinophilic cytoplasmic inclusions (Lewy bodies) composed of misfolded alpha-synuclein.,STEP1
CJD,cjd.png,"A 61-year-old man presents with rapidly progressive memory loss, confusion, and unsteady gait over a few months, and his family reports brief involuntary jerks triggered by sudden noises.","Here we see spongiform change of the cerebral cortex with numerous small intracellular and extracellular vacuoles in the gray matter, marked neuronal loss, and reactive astrocytosis, without significant inflammatory infiltrate.",STEP1
Glioblastoma,gbm1.png,"A 58-year-old woman presents with several weeks of worsening morning headaches and new-onset focal seizures, and MRI shows a heterogeneous ring-enhancing mass in the frontal lobe with surrounding vasogenic edema.","Here we see marked nuclear pleomorphism, frequent mitotic figures, prominent microvascular proliferation, and regions of pseudopalisading necrosis.",STEP1
Glioblastoma,gbm2.png,"A 55-year-old man presents with personality changes, difficulty finding words, and progressive right-sided weakness, and MRI shows an irregular enhancing temporal lobe mass with central necrosis and mass effect.","Here we see marked nuclear pleomorphism, frequent mitotic figures, prominent microvascular proliferation, and regions of pseudopalisading necrosis.",STEP1
Pilocytic astrocytoma,pilocytic.png,"A 9-year-old child presents with headaches, vomiting, and unsteady gait, and MRI shows a well-circumscribed cystic lesion in the cerebellum with an enhancing mural nodule.",Here we see elongated “hairlike” (pilocytic) astrocytes with Rosenthal fibers and eosinophilic granular bodies.,STEP1
Pilocytic astrocytoma,pilocytic1.png,"A 10-year-old child with a history of neurofibromatosis type 1 presents with slowly progressive blurry vision, and MRI shows fusiform enlargement of the optic chiasm with an enhancing mass.",Here we see elongated “hairlike” (pilocytic) astrocytes with Rosenthal fibers and eosinophilic granular bodies.,STEP1
Metastatic adenocarcinoma,adenocarcinoma.png,"A 65-year-old man with a 40-pack-year smoking history and several months of cough and weight loss presents with new-onset seizures and headaches, and MRI shows multiple ring-enhancing lesions at the gray-white junction with surrounding edema.","Here we see malignant gland-forming epithelial cells arranged in irregular acinar and tubular structures, with pleomorphic hyperchromatic nuclei, prominent nucleoli, and frequent mitoses.",
Meningioma,meningioma1.png,"A 56-year-old woman presents with focal seizures, and imaging reveals a dural-based parasagittal extra-axial mass with a broad attachment and thickening of the adjacent skull.",Here we see epithelioid cells forming whorled nests with interspersed concentrically laminated psammoma bodies.,STEP1
Crangiopharygioma,craniopharyngioma.png,"A 12-year-old child presents with headaches, growth delay, and bitemporal visual field loss, and MRI shows a partly cystic calcified suprasellar mass compressing the optic chiasm and pituitary stalk.","Here we see stratified squamous epithelium with a palisading basal layer and loose stellate reticulum-like cells, along with cystic spaces filled with ""wet"" keratin, cholesterol clefts, and frequent calcifications.",STEP1
Crangiopharygioma,craniopharyngioma1.png,"A 15-year-old adolescent presents with polyuria, polydipsia, delayed puberty, and progressive peripheral vision loss, and MRI shows a calcified cystic suprasellar mass extending into the sella.","Here we see stratified squamous epithelium with a palisading basal layer and loose stellate reticulum-like cells, along with cystic spaces filled with ""wet"" keratin, cholesterol clefts, and frequent calcifications.",STEP1
Medulloblastoma,medulloblastoma1.png,"An 11-year-old child presents with morning headaches, truncal ataxia, and frequent falls, and MRI shows an enhancing mass in the cerebellar vermis extending into the fourth ventricle and causing obstructive hydrocephalus.","Here we see sheets of densely packed small round blue cells with hyperchromatic nuclei, scant cytoplasm, frequent mitoses, and occasional Homer-Wright rosettes.",STEP1
Ependymoma,ependymoma1.png,"A 35-year-old man presents with progressive low back pain, bilateral leg weakness, and urinary urgency, and MRI shows an intramedullary enhancing mass within the cervical spinal cord with associated cord expansion.","Here we see tumor cells forming perivascular pseudorosettes, with tapering cellular processes radiating toward centrally placed blood vessels, and occasional true ependymal rosettes.",STEP1
Hemangioblastoma,hemangioblastoma.png,"A 45-year-old man with a history of von Hippel-Lindau disease presents with headaches, dizziness, and unsteady gait. MRI shows a cystic lesion in the cerebellum with an enhancing mural nodule, and laboratory studies reveal elevated hematocrit.","Here we see a highly vascular tumor composed of numerous thin-walled capillaries lined by bland endothelial cells, separated by clusters of stromal cells with vacuolated, lipid-rich “foamy” cytoplasm.",STEP1
Oligodendroglioma,oligodendroglioma1.png,"A 50-year-old woman presents with several months of personality changes and new-onset focal seizures, and CT shows a partially calcified mass in the frontal white matter involving the cortical–subcortical junction.","Here we see uniform round cells with perinuclear clearing (“fried-egg” appearance), delicate branching “chicken-wire” capillaries, and frequent calcifications.",STEP1
Schwannoma,schwannoma.png,"A 48-year-old woman presents with gradually progressive unilateral hearing loss, tinnitus, and unsteadiness. MRI shows a well-circumscribed enhancing mass in the cerebellopontine angle extending into the internal acoustic canal.","Here we see alternating hypercellular (Antoni A) and hypocellular (Antoni B) areas; the hypercellular regions show palisading nuclei arranged around eosinophilic fibrillary cores, forming Verocay bodies.",STEP1
Frontotemporal dementia,ftd.png,"A 58-year-old man is brought by his partner because of two years of progressive personality change, disinhibition, and socially inappropriate behavior. He has become apathetic at work, overeats, and makes tactless comments to friends. Memory for recent events is relatively preserved, but MRI shows prominent frontal and anterior temporal lobe atrophy.","Here we see neurons containing round, intracytoplasmic eosinophilic inclusions composed of hyperphosphorylated tau (""Pick bodies"").",STEP1
